Year,Assessment District,Assessment Ratio,Cook County Equalization Factor
2006,Barrington,8.07,2.7076
2006,Elk Grove,7.7,2.7076
2006,Evanston,7.84,2.7076
2006,Hanover,8.05,2.7076
2006,Leyden,7.5,2.7076
2006,Maine,7.75,2.7076
2006,New Trier,7.96,2.7076
2006,Niles,7.41,2.7076
2006,Northfield,7.59,2.7076
2006,Norwood park,7.45,2.7076
2006,Palatine,7.79,2.7076
2006,Schaumburg,7.78,2.7076
2006,Wheeling,7.74,2.7076
2006,Berwyn,8.46,2.7076
2006,Bloom,8.11,2.7076
2006,Bremen,8.15,2.7076
2006,Calumet,7.98,2.7076
2006,Cicero,7.95,2.7076
2006,Lemont,8.42,2.7076
2006,Lyons,8.14,2.7076
2006,Oak Park,8.4,2.7076
2006,Orland,8.16,2.7076
2006,Palos,7.93,2.7076
2006,Proviso,8.32,2.7076
2006,Rich,8.43,2.7076
2006,River Forest,7.96,2.7076
2006,Riverside,8.46,2.7076
2006,Stickney,8.1,2.7076
2006,Thornton,8.27,2.7076
2006,Worth,7.76,2.7076
2007,Barrington,9.15,2.8439
2007,Elk Grove,9.85,2.8439
2007,Evanston,9.57,2.8439
2007,Hanover,9.76,2.8439
2007,Leyden,9.85,2.8439
2007,Maine,10.14,2.8439
2007,New Trier,10.42,2.8439
2007,Niles,10.24,2.8439
2007,Northfield,9.88,2.8439
2007,Norwood park,10.65,2.8439
2007,Palatine,10,2.8439
2007,Schaumburg,9.55,2.8439
2007,Wheeling,9.92,2.8439
2007,Berwyn,8.51,2.8439
2007,Bloom,8.04,2.8439
2007,Bremen,8.03,2.8439
2007,Calumet,7.74,2.8439
2007,Cicero,8.04,2.8439
2007,Lemont,8.56,2.8439
2007,Lyons,8.17,2.8439
2007,Oak Park,8.4,2.8439
2007,Orland,8.23,2.8439
2007,Palos,7.97,2.8439
2007,Proviso,8.44,2.8439
2007,Rich,8.38,2.8439
2007,River Forest,8.1,2.8439
2007,Riverside,8.54,2.8439
2007,Stickney,8.53,2.8439
2007,Thornton,8.34,2.8439
2007,Worth,7.78,2.8439
2008,Barrington,10.74,2.9786
2008,Elk Grove,10.89,2.9786
2008,Evanston,9.96,2.9786
2008,Hanover,10.63,2.9786
2008,Leyden,11.84,2.9786
2008,Maine,11.23,2.9786
2008,New Trier,10.54,2.9786
2008,Niles,11.57,2.9786
2008,Northfield,10.77,2.9786
2008,Norwood park,11.8,2.9786
2008,Palatine,10.49,2.9786
2008,Schaumburg,10.32,2.9786
2008,Wheeling,10.64,2.9786
2008,Berwyn,11.56,2.9786
2008,Bloom,9.39,2.9786
2008,Bremen,10.02,2.9786
2008,Calumet,N/A,2.9786
2008,Cicero,11.83,2.9786
2008,Lemont,10.79,2.9786
2008,Lyons,10.91,2.9786
2008,Oak Park,10.29,2.9786
2008,Orland,10.32,2.9786
2008,Palos,10.16,2.9786
2008,Proviso,10.68,2.9786
2008,Rich,9.42,2.9786
2008,River Forest,9.66,2.9786
2008,Riverside,11.05,2.9786
2008,Stickney,10.94,2.9786
2008,Thornton,9.49,2.9786
2008,Worth,10.47,2.9786
2009,Barrington,10.4,3.3701
2009,Elk Grove,10.99,3.3701
2009,Evanston,10.43,3.3701
2009,Hanover,10.84,3.3701
2009,Leyden,12.4,3.3701
2009,Maine,11.71,3.3701
2009,New Trier,11.1,3.3701
2009,Niles,12.06,3.3701
2009,Northfield,11.37,3.3701
2009,Norwood park,11.76,3.3701
2009,Palatine,10.81,3.3701
2009,Schaumburg,10.67,3.3701
2009,Wheeling,10.86,3.3701
2009,Berwyn,11.53,3.3701
2009,Bloom,10.25,3.3701
2009,Bremen,10.71,3.3701
2009,Calumet,N/A,3.3701
2009,Cicero,13.17,3.3701
2009,Lemont,10.58,3.3701
2009,Lyons,10.81,3.3701
2009,Oak Park,10.19,3.3701
2009,Orland,10.47,3.3701
2009,Palos,11.18,3.3701
2009,Proviso,11.45,3.3701
2009,Rich,10.29,3.3701
2009,River Forest,10.97,3.3701
2009,Riverside,9.96,3.3701
2009,Stickney,12.04,3.3701
2009,Thornton,10.96,3.3701
2009,Worth,11.51,3.3701
2010,Barrington,10.8,3.3
2010,Elk Grove,12.2,3.3
2010,Evanston,9.65,3.3
2010,Hanover,11.13,3.3
2010,Leyden,13.87,3.3
2010,Maine,12.89,3.3
2010,New Trier,10.9,3.3
2010,Niles,11.84,3.3
2010,Northfield,11.21,3.3
2010,Norwood park,13.24,3.3
2010,Palatine,10.89,3.3
2010,Schaumburg,10.28,3.3
2010,Wheeling,10.95,3.3
2010,Berwyn,15.03,3.3
2010,Bloom,12.46,3.3
2010,Bremen,12.65,3.3
2010,Calumet,N/A,3.3
2010,Cicero,17.73,3.3
2010,Lemont,11.25,3.3
2010,Lyons,12.58,3.3
2010,Oak Park,11.34,3.3
2010,Orland,11.72,3.3
2010,Palos,12.6,3.3
2010,Proviso,13.51,3.3
2010,Rich,11.98,3.3
2010,River Forest,11.86,3.3
2010,Riverside,13,3.3
2010,Stickney,14.5,3.3
2010,Thornton,13.3,3.3
2010,Worth,12.52,3.3
2011,Barrington,10.26,2.9706
2011,Elk Grove,12.38,2.9706
2011,Evanston,10.44,2.9706
2011,Hanover,11.84,2.9706
2011,Leyden,13.13,2.9706
2011,Maine,12.15,2.9706
2011,New Trier,9.96,2.9706
2011,Niles,11.65,2.9706
2011,Northfield,9.92,2.9706
2011,Norwood park,12.2,2.9706
2011,Palatine,11.33,2.9706
2011,Schaumburg,11.27,2.9706
2011,Wheeling,11.4,2.9706
2011,Berwyn,11.17,2.9706
2011,Bloom,11.08,2.9706
2011,Bremen,10.85,2.9706
2011,Calumet,N/A,2.9706
2011,Cicero,11.86,2.9706
2011,Lemont,10.98,2.9706
2011,Lyons,10.48,2.9706
2011,Oak Park,9.8,2.9706
2011,Orland,10.58,2.9706
2011,Palos,10.81,2.9706
2011,Proviso,10.85,2.9706
2011,Rich,10.38,2.9706
2011,River Forest,10.8,2.9706
2011,Riverside,10.98,2.9706
2011,Stickney,12.18,2.9706
2011,Thornton,10.37,2.9706
2011,Worth,11.35,2.9706
2012,Barrington,11.33,2.8056
2012,Elk Grove,12.73,2.8056
2012,Evanston,10.77,2.8056
2012,Hanover,12.8,2.8056
2012,Leyden,14.85,2.8056
2012,Maine,13.29,2.8056
2012,New Trier,10.23,2.8056
2012,Niles,12.07,2.8056
2012,Northfield,10.6,2.8056
2012,Norwood park,11.89,2.8056
2012,Palatine,11.89,2.8056
2012,Schaumburg,12,2.8056
2012,Wheeling,11.81,2.8056
2012,Berwyn,13.17,2.8056
2012,Bloom,12.15,2.8056
2012,Bremen,11.33,2.8056
2012,Calumet,N/A,2.8056
2012,Cicero,14.24,2.8056
2012,Lemont,10.88,2.8056
2012,Lyons,10.75,2.8056
2012,Oak Park,10.12,2.8056
2012,Orland,11.06,2.8056
2012,Palos,11.08,2.8056
2012,Proviso,12.61,2.8056
2012,Rich,12.02,2.8056
2012,River Forest,10.21,2.8056
2012,Riverside,11.6,2.8056
2012,Stickney,12.24,2.8056
2012,Thornton,14.44,2.8056
2012,Worth,12.85,2.8056
2013,Barrington,9.67,2.6621
2013,Elk Grove,10.04,2.6621
2013,Evanston,8.85,2.6621
2013,Hanover,10.5,2.6621
2013,Leyden,11.34,2.6621
2013,Maine,9.44,2.6621
2013,New Trier,8.68,2.6621
2013,Niles,9.78,2.6621
2013,Northfield,8.84,2.6621
2013,Norwood park,9.8,2.6621
2013,Palatine,9.66,2.6621
2013,Schaumburg,9.67,2.6621
2013,Wheeling,9.26,2.6621
2013,Berwyn,11.66,2.6621
2013,Bloom,11.84,2.6621
2013,Bremen,11.25,2.6621
2013,Calumet,N/A,2.6621
2013,Cicero,12.65,2.6621
2013,Lemont,10.38,2.6621
2013,Lyons,10.05,2.6621
2013,Oak Park,9.38,2.6621
2013,Orland,10.66,2.6621
2013,Palos,11.16,2.6621
2013,Proviso,11.02,2.6621
2013,Rich,12.16,2.6621
2013,River Forest,9.34,2.6621
2013,Riverside,10.79,2.6621
2013,Stickney,11.92,2.6621
2013,Thornton,12.68,2.6621
2013,Worth,11.9,2.6621
2014,Barrington,9.14,2.7253
2014,Elk Grove,8.78,2.7253
2014,Evanston,8.07,2.7253
2014,Hanover,9.25,2.7253
2014,Leyden,9.89,2.7253
2014,Maine,8.52,2.7253
2014,New Trier,7.97,2.7253
2014,Niles,8.57,2.7253
2014,Northfield,7.83,2.7253
2014,Norwood park,8.45,2.7253
2014,Palatine,8.94,2.7253
2014,Schaumburg,8.7,2.7253
2014,Wheeling,8.23,2.7253
2014,Berwyn,8.94,2.7253
2014,Bloom,10.61,2.7253
2014,Bremen,9.81,2.7253
2014,Calumet,11.33,2.7253
2014,Cicero,8.81,2.7253
2014,Lemont,9.16,2.7253
2014,Lyons,9.19,2.7253
2014,Oak Park,8.7,2.7253
2014,Orland,9.48,2.7253
2014,Palos,9.27,2.7253
2014,Proviso,9.23,2.7253
2014,Rich,10.97,2.7253
2014,River Forest,8.25,2.7253
2014,Riverside,8.77,2.7253
2014,Stickney,9.56,2.7253
2014,Thornton,11.15,2.7253
2014,Worth,10.1,2.7253
2015,Barrington,9.35,2.6685
2015,Elk Grove,8.48,2.6685
2015,Evanston,7.84,2.6685
2015,Hanover,8.85,2.6685
2015,Leyden,8.94,2.6685
2015,Maine,7.89,2.6685
2015,New Trier,7.68,2.6685
2015,Niles,8.3,2.6685
2015,Northfield,7.58,2.6685
2015,Norwood park,7.92,2.6685
2015,Palatine,8.43,2.6685
2015,Schaumburg,8.15,2.6685
2015,Wheeling,7.84,2.6685
2015,Berwyn,7.33,2.6685
2015,Bloom,9.97,2.6685
2015,Bremen,9.55,2.6685
2015,Calumet,11.97,2.6685
2015,Cicero,7.48,2.6685
2015,Lemont,8.63,2.6685
2015,Lyons,8.26,2.6685
2015,Oak Park,8.21,2.6685
2015,Orland,9.11,2.6685
2015,Palos,9.13,2.6685
2015,Proviso,8.59,2.6685
2015,Rich,9.6,2.6685
2015,River Forest,8.07,2.6685
2015,Riverside,7.76,2.6685
2015,Stickney,8.61,2.6685
2015,Thornton,9.93,2.6685
2015,Worth,9.38,2.6685
2016,Barrington,10.22,2.8032
2016,Elk Grove,9.03,2.8032
2016,Evanston,8.78,2.8032
2016,Hanover,9.62,2.8032
2016,Leyden,9.47,2.8032
2016,Maine,8.44,2.8032
2016,New Trier,9.07,2.8032
2016,Niles,8.83,2.8032
2016,Northfield,8.97,2.8032
2016,Norwood park,8.53,2.8032
2016,Palatine,9.27,2.8032
2016,Schaumburg,8.93,2.8032
2016,Wheeling,8.64,2.8032
2016,Berwyn,7.05,2.8032
2016,Bloom,9.5,2.8032
2016,Bremen,8.94,2.8032
2016,Calumet,9.25,2.8032
2016,Cicero,6.68,2.8032
2016,Lemont,8.46,2.8032
2016,Lyons,7.96,2.8032
2016,Oak Park,7.74,2.8032
2016,Orland,8.69,2.8032
2016,Palos,8.56,2.8032
2016,Proviso,7.76,2.8032
2016,Rich,9.44,2.8032
2016,River Forest,7.58,2.8032
2016,Riverside,7.69,2.8032
2016,Stickney,8.08,2.8032
2016,Thornton,9.55,2.8032
2016,Worth,8.81,2.8032
2017,Barrington,10.22,2.9627
2017,Elk Grove,9.03,2.9627
2017,Evanston,8.78,2.9627
2017,Hanover,9.62,2.9627
2017,Leyden,9.47,2.9627
2017,Maine,8.44,2.9627
2017,New Trier,9.07,2.9627
2017,Niles,8.83,2.9627
2017,Northfield,8.97,2.9627
2017,Norwood park,8.53,2.9627
2017,Palatine,9.27,2.9627
2017,Schaumburg,8.93,2.9627
2017,Wheeling,8.64,2.9627
2017,Berwyn,7.05,2.9627
2017,Bloom,9.5,2.9627
2017,Bremen,8.94,2.9627
2017,Calumet,9.25,2.9627
2017,Cicero,6.68,2.9627
2017,Lemont,8.46,2.9627
2017,Lyons,7.96,2.9627
2017,Oak Park,7.74,2.9627
2017,Orland,8.69,2.9627
2017,Palos,8.56,2.9627
2017,Proviso,7.76,2.9627
2017,Rich,9.44,2.9627
2017,River Forest,7.58,2.9627
2017,Riverside,7.69,2.9627
2017,Stickney,8.08,2.9627
2017,Thornton,9.55,2.9627
2017,Worth,8.81,2.9627
